default;dropdownlist;fieldName:INFOR.KNOW;AGENT TERRAIN
default;textfield;fieldName:SHORT.NAME:1;KANE
default;textfield;fieldName:NAME.1:1;PRENOM IBRAHIMA
default;textfield;fieldName:MC.TITLE;M.
default;textfield;fieldName:BIRTH.INCORP.DATE;19891011
default;textfield;fieldName:LOC.BIRTH;DAKAR
default;textfield;fieldName:MNEMONIC;PK001
default;radiobutton;radio:mainTab:GENDER;MALE
default;textfield;fieldName:ACCOUNT.OFFICER;1049
default;textfield;fieldName:ID.TYPES;1
default;textfield;fieldName:LEGAL.ID:1;1799998912345
default;textfield;fieldName:DELIVER.DATE;20181010
default;textfield;fieldName:DELIVER.L;SN
default;textfield;fieldName:EXPIRY.DATE;20251011
default;textfield;fieldName:IFC.NUMBER;987699
default;radiobutton;radio:mainTab:CUST.OTH.IMF;NO
default;dropdownlist;fieldName:RESIDE.PROOF;Y
Adresse;textfield;fieldName:STREET:1;CITE ALIOU SOW
Adresse;textfield;fieldName:LOC.ZONE;1
Adresse;textfield;fieldName:LOC.LGA;101
Adresse;textfield;fieldName:LOC.CITY;100
Affaires;textfield;fieldName:INDUSTRY;5000
Affaires;textfield;fieldName:SECTOR;5020
Affaires;textfield;fieldName:NAME.FUNCTION;MON ACTIVITE DE COMMERCE
Affaires;textfield;fieldName:BUSINESS.ADD:1;ADRESSE ENTREPRISE
Affaires;textfield;fieldName:BUZ ZONE:1;1
Affaires;textfield;fieldName:BUZ.CITY:1;100
Affaires;textfield;fieldName:BUS LGA:1;101
Contact;textfield;fieldName:TEL.MOBILE:1;778299672
